id,surname,name,position,salary,phone
1,Иванов,Петр,директор,100,1234567
2,Петров,Иван,бухгалтер,80,2223344
3,Сидоров,Антон,визажист,75,4445588
4,Фокина,Инна,парикмахер,70,8885566
5,Афанасьева,Ольга,косметолог,80,9998877
6,Поливаева,Евгения,мастер маникюра,65,8889977
7,Шадрина,Инна,администратор,65,7774411
8,Полякова,Тамара,уборщица,50,44455119
9,Смолов,Савелий,косметолог,60,1234785
10,Савушкина,Светлана,парикмахер,80,5557733
11,Злобина,Жанна,косметолог,85,5554499
12,Макаренко,Семен,мастер татуажа,80,1113322
